STATEFIP_1940,COUNTYICP_1940,ENUMDIST,CITY_1940,SEX_1940,MARST_1940,BIRTHYR_1940,RACE_1940,LABFORCE_1940,INCWAGE_1940,OCC1950_1940,EDUC_1940,CITIZEN_1940,NATIVITY_1940,NATIVITY_MOM_1940,NATIVITY_POP_1940,step_1940,STATEFIP_1950,COUNTYICP_1950,CITY_1950,SEX_1950,MARST_1950,BIRTHYR_1950,RACE_1950,LABFORCE_1950,INCWAGE_1950,INCTOT,OCC1950_1950,EDUC_1950,CITIZEN_1950,NATIVITY_1950,NATIVITY_MOM_1950,NATIVITY_POP_1950,step_1950
8,10,100090,0,1,6,1940,5,0,999999,999,0,0,0,0,0,1,8,10,0,1,6,1940,5,9,999999,9999999,999,1,0,2,0,0,1
8,10,100090,0,1,1,1878,5,2,0,820,1,5,0,NA,NA,2,8,310,1710,1,1,1878,5,1,999999,9999999,999,0,0,0,NA,NA,2
8,10,100090,0,2,1,1894,5,1,0,999,2,5,0,NA,NA,2,8,310,1710,2,1,1894,5,1,999999,9999999,999,0,0,0,NA,NA,2
8,10,100090,0,1,6,1920,5,2,0,820,6,0,0,0,0,1,8,310,1710,1,1,1920,5,2,2350,2350,970,6,0,4,0,0,1
8,10,100090,0,2,6,1934,5,0,999999,999,0,0,0,0,0,2,8,310,1710,2,6,1934,5,1,999999,9999999,999,0,0,0,0,0,2
8,10,100090,0,1,1,1884,5,2,0,100,1,3,0,NA,NA,2,8,10,0,1,1,1884,5,2,999999,9999999,100,0,3,0,NA,NA,2
8,10,100090,0,2,1,1895,5,1,0,999,1,3,0,NA,NA,2,8,10,0,2,1,1896,5,1,0,0,979,2,0,5,NA,NA,2
8,10,100100,0,2,1,1901,5,1,0,999,2,3,0,NA,NA,2,8,130,0,2,2,1901,5,1,0,0,100,2,3,5,NA,NA,2
8,10,100100,0,1,6,1921,5,1,0,999,3,0,0,0,0,1,8,130,0,1,6,1921,5,2,999999,9999999,100,0,0,0,5,NA,1
8,10,100100,0,1,6,1932,5,0,999999,999,1,0,0,0,0,1,8,130,0,1,6,1931,5,1,999999,9999999,830,0,0,0,5,NA,1
8,10,100100,0,2,6,1934,5,0,999999,999,0,0,0,0,0,2,8,130,0,2,6,1933,5,1,999999,9999999,999,0,0,0,5,NA,2
8,10,100100,0,1,6,1936,5,0,999999,999,99,0,0,0,0,2,8,130,0,1,6,1935,5,1,0,0,830,2,0,4,5,NA,2
8,10,100100,0,1,1,1881,5,2,0,100,2,3,0,NA,NA,1,8,10,0,1,1,1881,5,2,0,0,999,2,3,5,NA,NA,1
8,10,100100,0,2,1,1891,5,1,0,982,2,3,0,NA,NA,2,8,10,0,2,1,1891,5,1,999999,9999999,999,0,3,0,NA,NA,2
8,10,100100,0,1,6,1919,5,2,0,830,6,0,0,0,0,1,8,10,0,1,1,1919,5,2,999999,9999999,999,0,0,0,0,5,1
8,10,100100,0,1,6,1925,5,1,0,982,2,0,4,0,0,1,8,10,0,1,6,1926,5,2,999999,9999999,999,0,0,0,0,5,1
8,10,100100,0,2,6,1928,5,0,999999,999,2,0,0,0,0,2,8,10,0,2,6,1928,5,1,999999,9999999,999,0,0,0,0,5,2
8,10,100100,0,1,6,1930,5,0,999999,999,1,0,0,0,0,1,8,10,0,1,6,1930,5,2,999999,9999999,999,0,0,0,0,5,1
